ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,UltimateSource,Source,Pages
agta1234-1,Agta of Dikaméy,agta1234,Agta-Pahanan,apf,Papunesia,17.0538,122.2802,Austronesian,,Headland1979,pp.3-7
agta1234-2,Palanan Dumagat,agta1234,Agta-Pahanan,apf,Papunesia,17.0538,122.2802,Austronesian,,Headland1965Dumagat,pp.3-7
ahin1234-1,"Kallahan, Kayapa Proper",ahin1234,Ahin-Kayapa Kalanguya,kak,Papunesia,16.321,120.90003,Austronesian,,Reid1971,"pp.75, 82, 85, 92, 110, 113, 129, 132, 146, 149, 154"
aikl1237-1,Moewe-Haven,aikl1237,Aiklep,mwg,Papunesia,-6.23575,149.571,Austronesian,,Chinnery1928,pp.99-100
aikl1237-2,Moewehafen (Moewehafen proper),aikl1237,Aiklep,mwg,Papunesia,-6.23575,149.571,Austronesian,"2 IMPs. Villages: Aviklo, Nakalo.",Lean1985Vol04,p.65
aiom1240-1,Aiome,aiom1240,Aiome,aki,Papunesia,-5.13467,144.765,Lower Sepik-Ramu,,Zgraggen1972,pp.215-219
aiom1240-2,Aomie,aiom1240,Aiome,aki,Papunesia,-5.13467,144.765,Lower Sepik-Ramu,1 IMP.,Lean1985Vol05,p.40
airo1242-1,Apauwar,airo1242,Airoran,air,Papunesia,-1.8522,138.158,Greater Kwerba,,Stokhof1983Vol5.2,p.50
aisi1234-1,"Aisi [data correspond to two Glottocodes: musa1266 , magi1243]",aisi1234,Aisian,,,,,Nuclear Trans New Guinea,,Daniels2015,p.790
akkk1240-1,Ak,akkk1240,Ak,akq,Papunesia,-3.57026,141.784,Sepik,,Laycock1970D09,p.1232
akol1237-1,Gasmata (Ablingi Island),akol1237,Akolet,akt,Papunesia,-6.22711,150.182,Austronesian,"3 CSQs. Villages: Ablingi Island, Alepen, Anato.",Lean1985Vol04,p.61
akoy1238-1,Lohiki (Kuvaru village),akoy1238,Akoye,miw,Papunesia,-7.66067,145.669,Angan,SIL Word List (1971). Village: Kuravu.,Lean1986Vol11,p.44
akoy1238-2,Lohiki (Sori village),akoy1238,Akoye,miw,Papunesia,-7.66067,145.669,Angan,SIL Word List (1971). Village: Sori.,Lean1986Vol11,p.44
akru1241-1,Akrukay,akru1241,Chini,afi,Papunesia,-4.88687,144.821,Lower Sepik-Ramu,,Zgraggen1972,pp.215-219
akru1241-2,Chini,akru1241,Chini,afi,Papunesia,-4.88687,144.821,Lower Sepik-Ramu,,Brooks2018,"pp.42, 147, 232, 274"
alam1246-1,Alamblak,alam1246,Alamblak,amp,Papunesia,-4.66307,143.316,Sepik,,Laycock1971D22,p.3086
alba1269-1,Buhi Bicol,alba1269,Inland-Buhi-Daraga Bikol,bhk,Papunesia,13.1989,123.49,Austronesian,,Anonymous1984Bicol,pp.2-5
alek1238-1,Gahuku,alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea,,Scott1978,"pp.181, 182, 188, 193, 194"
alek1238-2,Gahuku-Asaro (Gahuku dialect: from CSQs),alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea,17 CSQs.,Lean1986Vol08,p.15
alek1238-3,Gahuku-Asaro (Gahuku dialect: from IMP/SIL),alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea,IMP/SIL (1978).,Lean1986Vol08,p.15
alek1238-4,Gahuku-Asaro (Gahuku dialect: from SIL word list),alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea,S.I.L word list (1976).,Lean1986Vol08,p.15
alor1247-1,Alor,alor1247,Alorese,aol,Papunesia,-8.20382,124.264,Austronesian,,Stokhof1983Vol6,pp.294-295
alun1238-1,Alune: Seram,alun1238,Alune,alp,Papunesia,-3.11477,128.394,Austronesian,,Stokhof1981Vol3.2,p.187
alun1238-2,Sapolewa (Soow Kwélé oeloei) (Upper Sapolewa: Seram,alun1238,Alune,alp,Papunesia,-3.11477,128.394,Austronesian,,Stokhof1981Vol3.2,p.203
amah1245-1,"Amahai, Soahuku, Makariki: Seram",amah1245,Amahai,amq,Papunesia,-3.32028,128.939,Austronesian,,Stokhof1981Vol3.2,p.13
amah1245-2,Amahai: Seram,amah1245,Amahai,amq,Papunesia,-3.32028,128.939,Austronesian,,Stokhof1981Vol3.2,p.48
amah1245-3,Amahai: Seram (mentioned in JB 1939),amah1245,Amahai,amq,Papunesia,-3.32028,128.939,Austronesian,,Stokhof1981Vol3.2,p.32
amal1242-1,Amlo,amal1242,Amal,aad,Papunesia,-4.04517,141.995,Sepik,,Laycock1967C06,p.11
amam1246-1,Amam,amam1246,Amam,,Papunesia,-7.9,146.92,Goilalan,,Aki2013,p.22
aman1265-1,Amanab,aman1265,Amanab,amn,Papunesia,-3.51516,141.178,Border,,Laycock1970D16,p.2260
aman1265-2,Amanab (from IMP/SIL),aman1265,Amanab,amn,Papunesia,-3.51516,141.178,Border,IMP/SIL (1978).,LeanSandaun,pp.17-18
aman1265-3,Amanab (Naineri village),aman1265,Amanab,amn,Papunesia,-3.51516,141.178,Border,SIL Word List (1968). Village: Naineri. ,LeanSandaun,p.18
amap1240-1,Ama,amap1240,Ama (Papua New Guinea),amm,Papunesia,-4.20192,141.658,Left May,IMP/SIL Questionnaire (1978).,LeanEastSepik,p.17
amap1240-2,Ama,amap1240,Ama (Papua New Guinea),amm,Papunesia,-4.20192,141.658,Left May,,Arsjo1999,p.79
amap1240-3,Ama,amap1240,Ama (Papua New Guinea),amm,Papunesia,-4.20192,141.658,Left May,,Conrad1975,pp.21-24
amba1265-1,Ambai,amba1265,Ambai,amk,Papunesia,-1.88126,136.526,Austronesian,,Galis1955,p.141
amba1269-1,Aion,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram,1 CSQ. Village: Arango.,LeanEastSepik,pp.60-61
amba1269-2,Aion (No. 1. Porapora),amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram,,Laycock1971D21,p.2964
amba1269-3,Ambakich,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram,,Potter2008,p.64
amba1269-4,Ambakich (Yaut village),amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram,,Barlow2021,pp.72-73
ambe1248-1,Ambelau: Buru,ambe1248,Ambelau,amv,Papunesia,-3.85919,127.196,Austronesian,,Stokhof1982Vol3.4,p.59
ambo1250-1,Ambon Malay,ambo1250,Ambonese Malay,abs,Papunesia,-3.71342,128.184,Austronesian,,Paauw2009,p.190
ambo1250-2,Ambon Maleis,ambo1250,Ambonese Malay,abs,Papunesia,-3.71342,128.184,Austronesian,,Stokhof1982Vol3.3,pp.210-211
ambu1247-1,Abelam (Maprik dialect),ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu,,Laycock1965,pp.173-174
ambu1247-2,Abelam (Wosera dialect),ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu,,Laycock1965,pp.173-174
ambu1247-3,Abelem (Maprik dialect),ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu,IMP/SIL Questionnaire (1978). Maprik d.,LeanEastSepik,p.36
ambu1247-4,Abelem (Wingei dialect),ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu,"5 CSQs. Villages: Wingei (2), Guarip (2), Bapandu (1). Wingei d.",LeanEastSepik,p.35
ambu1247-5,Abelem (Wosera dialect: from CSQs),ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu,8 CSQs. Village: Wosera d. region.,LeanEastSepik,p.35
ambu1247-6,Abelem (Wosera dialect: Stapigum village),ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu,SIL Word List (1976). Village: Stapigum. (Wosera d.),LeanEastSepik,p.36
amel1241-1,Amele,amel1241,Amele,aey,Papunesia,-5.29126,145.687,Nuclear Trans New Guinea,"2 CSQs. Villages: Amele, Sein.",LeanMadang,p.54
amol1235-1,Aru,amol1235,Mol,alx,Papunesia,-3.46843,142.532,Nuclear Torricelli,1 CSQ. Village: Sunambu.,LeanSandaun,p.37
amol1235-2,Aru,amol1235,Mol,alx,Papunesia,-3.46843,142.532,Nuclear Torricelli,,Laycock1967C09,p.60
ampa1239-1,Ampanang,ampa1239,Ampanang,apg,Papunesia,-0.79259,116.349,Austronesian,,Knappert1905,pp.615-616
amto1250-1,Amto,amto1250,Amto,amt,Papunesia,-4.12165,141.339,Amto-Musan,SIL Word List (1972). Village: Amto. ,LeanSandaun,p.29
amto1250-2,Amto,amto1250,Amto,amt,Papunesia,-4.12165,141.339,Amto-Musan,,Conrad1975,pp.21-24
anam1248-1,Anamuxra,anam1248,Anamuxra,imi,Papunesia,-4.63762,144.991,Nuclear Trans New Guinea,,Ingram2001,pp.83-87
anda1283-1,Andai (Imboin-Namata villages),anda1283,Andai,afd,Papunesia,-4.96449,143.637,Arafundi,,Kassell2017,pp.52-53
anda1283-2,Andai (Kaiyam village),anda1283,Andai,afd,Papunesia,-4.96449,143.637,Arafundi,,Kassell2017,pp.52-53
anda1283-3,Meakambut,anda1283,Andai,afd,Papunesia,-4.96449,143.637,Arafundi,,Laycock1971D35,"pp.5284, 5306"
