ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Pages
abui1241-1-8-1,,abui1241-1,8,j ɛting soea,j ɛting soea,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
abui1241-1-9-1,,abui1241-1,9,j ɛting boeti,j ɛting boeti,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
abui1241-1-10-1,,abui1241-1,10,kar noekoe,kar noekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-11-1,,abui1241-1,11,karnoekoe wal noekoe,karnoekoe wal noekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-12-1,,abui1241-1,12,karnoekoe wal ajoekoe,karnoekoe wal ajoekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-13-1,,abui1241-1,13,karnoekoe wal soea,karnoekoe wal soea,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-14-1,,abui1241-1,14,karnoekoe wal boeti,karnoekoe wal boeti,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-15-1,,abui1241-1,15,karnoekoe wal jɛting,karnoekoe wal jɛting,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-16-1,,abui1241-1,16,karnoekoe wal talama,karnoekoe wal talama,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-17-1,,abui1241-1,17,karnoekoe wal jɛting ajoekoe,karnoekoe wal jɛting ajoekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-18-1,,abui1241-1,18,karnoekoe wal jɛting soea,karnoekoe wal jɛting soea,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-19-1,,abui1241-1,19,karnoekoe wal j ɛting boeti,karnoekoe wal j ɛting boeti,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
abui1241-1-20-1,,abui1241-1,20,kar ajoekoe,kar ajoekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-21-1,,abui1241-1,21,kar ajoekoe noekoe,kar ajoekoe noekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-30-1,,abui1241-1,30,kar soea,kar soea,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-40-1,,abui1241-1,40,kar boeti,kar boeti,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-50-1,,abui1241-1,50,kar jɛting,kar jɛting,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-60-1,,abui1241-1,60,kar talama,kar talama,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-70-1,,abui1241-1,70,kar j ɛting ajoekoe,kar j ɛting ajoekoe,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
abui1241-1-80-1,,abui1241-1,80,kar j ɛting soea,kar j ɛting soea,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
abui1241-1-90-1,,abui1241-1,90,kar j ɛting boeti,kar j ɛting boeti,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
abui1241-1-100-1,,abui1241-1,100,aisaha noekoe,aisaha noekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-200-1,,abui1241-1,200,aisaha ajoekoe,aisaha ajoekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-1000-1,,abui1241-1,1000,rifi noekoe,rifi noekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-10000-1,,abui1241-1,10000,rifi karnoekoe,rifi karnoekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-2-1-1,,abui1241-2,1,no̱e̱ko̱e̱,no̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-2-1,,abui1241-2,2,ajo̱e̱ko̱e̱,ajo̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-3-1,,abui1241-2,3,so̱e̱a,so̱e̱a,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-4-1,,abui1241-2,4,bo̱e̱ti,bo̱e̱ti,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-5-1,,abui1241-2,5,djeting,djeting,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-6-1,,abui1241-2,6,talama,talama,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-7-1,,abui1241-2,7,djeting ajo̱e̱ko̱e̱,djeting ajo̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-8-1,,abui1241-2,8,djeting so̱e̱a,djeting so̱e̱a,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-9-1,,abui1241-2,9,djeting boeti,djeting boeti,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-10-1,,abui1241-2,10,karnoekoe,karnoekoe,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-11-1,,abui1241-2,11,karno̱e̱ko̱e̱ wal no̱e̱ko̱e̱,karno̱e̱ko̱e̱ wal no̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-12-1,,abui1241-2,12,karnoekoe wal ajo̱e̱ko̱e̱,karnoekoe wal ajo̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-13-1,,abui1241-2,13,karnoekoe wal so̱e̱a,karnoekoe wal so̱e̱a,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-19-1,,abui1241-2,19,karno̱e̱ko̱e̱ wal djeting boeti,karno̱e̱ko̱e̱ wal djeting boeti,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-20-1,,abui1241-2,20,kar ajo̱e̱koe,kar ajo̱e̱koe,,,Stokhof1987Vol11,,false,,,p.96
