ID,Name,Source,Pages,UltimateSource,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
aikl1237-1,Moewe-Haven,Chinnery1928,pp.99-100,,aikl1237,Aiklep,mwg,Papunesia,-6.23575,149.571,Austronesian
aikl1237-2,Moewehafen (Moewehafen proper),Lean1985Vol04,p.65,"2 IMPs. Villages: Aviklo, Nakalo.",aikl1237,Aiklep,mwg,Papunesia,-6.23575,149.571,Austronesian
aikl1237-3,Aiklep - Asailo village,Spencer2013,pp.88-89,,aikl1237,Aiklep,mwg,Papunesia,-6.23575,149.571,Austronesian
aiom1240-1,Aiome,Zgraggen1972,pp.215-219,,aiom1240,Aiome,aki,Papunesia,-5.13467,144.765,Lower Sepik-Ramu
aiom1240-2,Aomie,Lean1985Vol05,p.40,1 IMP.,aiom1240,Aiome,aki,Papunesia,-5.13467,144.765,Lower Sepik-Ramu
airo1242-1,Apauwar,Stokhof1983Vol5.2,p.50,,airo1242,Airoran,air,Papunesia,-1.8522,138.158,Greater Kwerba
aisi1234-1,"Aisi [data correspond to two Glottocodes: musa1266 , magi1243]",Daniels2015,p.790,,aisi1234,Aisian,,,-5.256285,145.15305,Nuclear Trans New Guinea
ajie1238-1,ajie (Houaïlou),Grace1955pdfNotes,p.9 [of pdf],,ajie1238,Ajië,aji,Papunesia,-21.3029,165.468,Austronesian
akkk1240-1,Ak,Laycock1970D09,p.1232,,akkk1240,Ak,akq,Papunesia,-3.57026,141.784,Sepik
akol1237-1,Gasmata (Ablingi Island),Lean1985Vol04,p.61,"3 CSQs. Villages: Ablingi Island, Alepen, Anato.",akol1237,Akolet,akt,Papunesia,-6.22711,150.182,Austronesian
akoy1238-1,Lohiki (Kuvaru village),Lean1986Vol11,p.44,SIL Word List (1971). Village: Kuravu.,akoy1238,Akoye,miw,Papunesia,-7.66067,145.669,Angan
akoy1238-2,Lohiki (Sori village),Lean1986Vol11,p.44,SIL Word List (1971). Village: Sori.,akoy1238,Akoye,miw,Papunesia,-7.66067,145.669,Angan
akru1241-1,Akrukay,Zgraggen1972,pp.215-219,,akru1241,Chini,afi,Papunesia,-4.88687,144.821,Lower Sepik-Ramu
akru1241-2,Chini,Brooks2018,"pp.42, 147, 232, 274",,akru1241,Chini,afi,Papunesia,-4.88687,144.821,Lower Sepik-Ramu
alam1246-1,Alamblak,Laycock1971D22,p.3086,,alam1246,Alamblak,amp,Papunesia,-4.66307,143.316,Sepik
alba1269-1,Buhi Bicol,Anonymous1984Bicol,pp.2-5,,alba1269,Inland-Buhi-Daraga Bikol,bhk,Papunesia,13.1989,123.49,Austronesian
alek1238-1,Gahuku,Scott1978,"pp.181, 182, 188, 193, 194",,alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea
alek1238-2,Gahuku-Asaro (Gahuku dialect: from CSQs),Lean1986Vol08,p.15,17 CSQs.,alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea
alek1238-3,Gahuku-Asaro (Gahuku dialect: from IMP/SIL),Lean1986Vol08,p.15,IMP/SIL (1978).,alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea
alek1238-4,Gahuku-Asaro (Gahuku dialect: from SIL word list),Lean1986Vol08,p.15,S.I.L word list (1976).,alek1238,Alekano,gah,Papunesia,-6.03901,145.387,Nuclear Trans New Guinea
alor1247-1,Alor,Stokhof1983Vol6,pp.294-295,,alor1247,Alorese,aol,Papunesia,-8.20382,124.264,Austronesian
alun1238-1,Alune: Seram,Stokhof1981Vol3.2,p.187,,alun1238,Alune,alp,Papunesia,-3.11477,128.394,Austronesian
alun1238-2,Sapolewa (Soow Kwélé oeloei) (Upper Sapolewa): Seram,Stokhof1981Vol3.2,p.203,,alun1238,Alune,alp,Papunesia,-3.11477,128.394,Austronesian
amah1245-1,"Amahai, Soahuku, Makariki: Seram",Stokhof1981Vol3.2,p.13,,amah1245,Amahai,amq,Papunesia,-3.32028,128.939,Austronesian
amah1245-2,Amahai: Seram,Stokhof1981Vol3.2,p.48,,amah1245,Amahai,amq,Papunesia,-3.32028,128.939,Austronesian
amah1245-3,Amahai: Seram (mentioned in JB 1939),Stokhof1981Vol3.2,p.32,,amah1245,Amahai,amq,Papunesia,-3.32028,128.939,Austronesian
amai1246-1,Amaimon,Zgraggen1980NorthernAdelbert,p.92,,amai1246,Amaimon,ali,Papunesia,-5.18742,145.368,Nuclear Trans New Guinea
amal1242-1,Amlo,Laycock1967C06,p.11,,amal1242,Amal,aad,Papunesia,-4.04517,141.995,Sepik
amam1246-1,Amam,Aki2013,p.22,,amam1246,Amam,,Papunesia,-7.9,146.92,Goilalan
